row_idx,col_idx,nH,colDen,tg_guess,final_Tg,attempt_number,attempt_type,converged,repeat_equilibrium,co_int_TB,error_message
21,43,70.54802310718645,4.03701725859655e+20,5.12,12614.19916023445,1,successful,True,0,0.00026242034663650506,
21,44,70.54802310718645,4.641588833612792e+20,5.12,12359.722906844747,1,successful,True,0,0.00032492053516390535,
21,45,70.54802310718645,5.336699231206302e+20,5.12,12073.442750319593,1,successful,True,0,0.0004041960515063696,
21,46,70.54802310718645,6.135907273413189e+20,5.12,11752.433153281825,1,successful,True,0,0.00050553255992191,
21,47,70.54802310718645,7.054802310718631e+20,5.12,11393.829629517233,1,successful,True,0,0.0006362120412831849,
21,48,70.54802310718645,8.11130830789689e+20,5.12,10994.955665712072,1,successful,True,0,0.0008064134601054906,
21,49,70.54802310718645,9.32603346883218e+20,5.12,10553.487712383527,1,successful,True,0,0.0010305917336489638,
21,50,70.54802310718645,1.0722672220103254e+21,5.12,10067.66256460863,1,successful,True,0,0.001329629932174613,
21,51,70.54802310718645,1.2328467394420634e+21,5.12,9536.52918251046,1,successful,True,0,0.0017342686913288236,
21,52,70.54802310718645,1.4174741629268077e+21,5.12,8960.242996715304,1,successful,True,0,0.0022906950075590234,
21,53,70.54802310718645,1.6297508346206403e+21,5.12,8340.394478670252,1,successful,True,0,0.0030698751863872105,
21,54,70.54802310718645,1.8738174228603868e+21,5.12,7680.354786628948,1,successful,True,0,0.004183559955736565,
21,55,70.54802310718645,2.154434690031878e+21,5.12,6985.609461068668,1,successful,True,0,0.005812538924079722,
21,56,70.54802310718645,2.477076355991714e+21,5.12,6264.036841309248,1,successful,True,0,0.008258124858757354,
21,57,70.54802310718645,2.848035868435793e+21,5.12,5526.072420918374,1,successful,True,0,0.01203927672295076,
21,58,70.54802310718645,3.2745491628777317e+21,5.12,4784.686223355268,1,successful,True,0,0.018082907107751404,
21,59,70.54802310718645,3.7649358067924557e+21,5.12,4054.86409919575,1,successful,True,0,0.028864128950623208,
21,60,70.54802310718645,4.3287612810830613e+21,5.12,3352.843602971998,1,successful,True,0,0.050511933970352356,
21,61,70.54802310718645,4.977023564332093e+21,5.12,2695.2935443545302,1,successful,True,0,0.09519844164898411,
21,62,70.54802310718645,5.72236765935022e+21,5.12,2097.6559319360736,1,successful,True,0,0.18731275409104875,
21,63,70.54802310718645,6.57933224657571e+21,5.12,1564.7616215892403,1,successful,True,0,0.45470248296779536,
21,64,70.54802310718645,7.56463327554629e+21,5.12,1102.0586576177018,1,successful,True,0,1.0780983664165262,
21,65,70.54802310718645,8.697490026177799e+21,5.12,695.8487798126391,1,successful,True,0,2.703170705082342,
21,66,70.54802310718645,1e+22,5.12,341.70629027776016,1,successful,True,0,7.112300861292702,
21,67,70.54802310718645,1.1497569953977404e+22,5.12,5.943288180699939,1,successful,True,0,33.8115385350088,
21,68,70.54802310718645,1.3219411484660287e+22,5.12,5.800184701009527,1,successful,True,0,32.481440067371025,
21,69,70.54802310718645,1.519911082952927e+22,5.12,5.865030586889739,1,successful,True,0,33.25589358100267,
21,70,70.54802310718645,1.747528400007683e+22,5.12,5.806172376364028,1,successful,True,0,33.3113999698223,
21,71,70.54802310718645,2.009233002565054e+22,5.12,5.778588695972206,1,successful,True,0,33.567077063067025,
21,72,70.54802310718645,2.310129700083158e+22,5.12,5.754940230341828,1,successful,True,0,33.72789950750037,
21,73,70.54802310718645,2.6560877829466947e+22,5.12,5.928496315362337,1,successful,True,0,35.89305890536537,
21,74,70.54802310718645,3.0538555088334123e+22,5.12,6.113841508808082,1,successful,True,0,38.209138739696996,
21,75,70.54802310718645,3.511191734215142e+22,5.12,6.30970791620442,1,successful,True,0,40.66294734474346,
21,76,70.54802310718645,4.037017258596549e+22,5.12,6.515524531582517,1,successful,True,0,43.248952510076236,
21,77,70.54802310718645,4.641588833612792e+22,5.12,6.730701797719888,1,successful,True,0,45.961039388992006,
21,78,70.54802310718645,5.336699231206302e+22,5.12,6.95465047896129,1,successful,True,0,48.792772520125425,
21,79,70.54802310718645,6.135907273413189e+22,5.12,7.187066105468165,1,successful,True,0,51.74089418596944,
21,80,70.54802310718645,7.054802310718631e+22,5.12,7.428168291255834,1,successful,True,0,54.80834390366607,
21,81,70.54802310718645,8.11130830789689e+22,5.12,7.678359062288435,1,successful,True,0,58.00011179388007,
21,82,70.54802310718645,9.32603346883218e+22,5.12,7.937982172965063,1,successful,True,0,61.32022459737773,
21,83,70.54802310718645,1.0722672220103254e+23,5.12,8.207898714261509,1,successful,True,0,64.77889573119872,
21,84,70.54802310718645,1.2328467394420634e+23,5.12,8.489484337496059,1,successful,True,0,68.39257004372676,
21,85,70.54802310718645,1.4174741629268077e+23,5.12,8.784186888924907,1,successful,True,0,72.17840169074427,
21,86,70.54802310718645,1.62975083462064e+23,5.12,9.093135437107048,1,successful,True,0,76.14925739195193,
21,87,70.54802310718645,1.8738174228603868e+23,5.12,9.416874003665853,1,successful,True,0,80.31021712627803,
21,88,70.54802310718645,2.1544346900318955e+23,5.12,9.75527463324247,1,successful,True,0,84.65732709326569,
21,89,70.54802310718645,2.477076355991714e+23,5.12,10.108479278478445,1,successful,True,0,89.18958443022058,
21,90,70.54802310718645,2.848035868435793e+23,5.12,10.477081747837167,1,successful,True,0,93.91128083531423,
21,91,70.54802310718645,3.2745491628777314e+23,5.12,10.85901674803386,1,successful,True,0,98.79182437960952,
21,92,70.54802310718645,3.764935806792487e+23,5.12,11.254512858219028,1,successful,True,0,103.82945905276652,
21,93,70.54802310718645,4.328761281083061e+23,5.12,11.664518195405524,1,successful,True,0,109.03105395825224,
21,94,70.54802310718645,4.977023564332094e+23,5.12,12.09050065811894,1,successful,True,0,114.40944760185951,
21,95,70.54802310718645,5.72236765935022e+23,5.12,12.534035289695774,1,successful,True,0,119.97795719126158,
21,96,70.54802310718645,6.57933224657571e+23,5.12,12.996355737292424,1,successful,True,0,125.7443436032484,
21,97,70.54802310718645,7.56463327554629e+23,5.12,13.47806694453174,1,successful,True,0,131.70679582391693,
21,98,70.54802310718645,8.6974900261778e+23,5.12,13.979192786441873,1,successful,True,0,137.85418665487882,
21,99,70.54802310718645,1e+24,5.12,14.499568820706523,1,successful,True,0,144.1707195390353,
22,0,77.4263682681127,1e+18,5.12,13562.484584191976,1,successful,True,0,5.005156371186816e-07,
22,1,77.4263682681127,1.1497569953977403e+18,5.12,13561.799082768044,1,successful,True,0,5.759793442573459e-07,
22,2,77.4263682681127,1.3219411484660288e+18,5.12,13561.011083096997,1,successful,True,0,6.628288258243402e-07,
22,3,77.4263682681127,1.5199110829529393e+18,5.12,13560.105249115906,1,successful,True,0,7.627844968045877e-07,
22,4,77.4263682681127,1.747528400007683e+18,5.12,13559.063952474029,1,successful,True,0,8.778275541469159e-07,
22,5,77.4263682681127,2.0092330025650542e+18,5.12,13557.866930659828,1,successful,True,0,1.0102397726363434e-06,
22,6,77.4263682681127,2.310129700083158e+18,5.12,13556.490894386205,1,successful,True,0,1.1626494582559913e-06,
22,7,77.4263682681127,2.6560877829466947e+18,5.12,13554.909076781163,1,successful,True,0,1.3380845384125076e-06,
